#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
127,Senegal,"85,785",,"1,964",,"83,768",,53,1,"4,905",112,"1,025,172","58,622","17,487,927"
128,Malawi,"85,486",,"2,620",,"76,642",,"6,224",67,"4,282",131,"552,610","27,681","19,963,487"
129,Ivory Coast,"81,577",,795,,"80,623",,159,,"2,969",29,"1,439,716","52,392","27,479,781"
130,Suriname,"78,740",+35,"1,320",+1,"49,365",,"28,055",1,"132,224","2,217","232,068","389,701","595,503"
131,French Guiana,"78,075",,394,,"11,254",,"66,427",4,"250,452","1,264","602,022","1,931,192","311,736"
132,Malta,"72,687",+127,614,+1,"70,472",+86,"1,601",3,"163,884","1,384","1,211,456","2,731,408","443,528"
133,French Polynesia,"70,158",,643,,N/A,N/A,N/A,7,"247,341","2,267",,,"283,649"
134,Eswatini,"69,408",,"1,392",,"67,932",,84,11,"58,799","1,179","485,322","411,138","1,180,437"
135,Fiji,"64,067",,834,,"62,218",,"1,015",,"70,604",919,"502,044","553,272","907,409"
136,Madagascar,"63,791",,"1,373",,"59,002",,"3,416",26,"2,208",48,"401,851","13,909","28,891,404"
137,Guyana,"63,107",,"1,224",,"61,684",,199,5,"79,584","1,544","548,943","692,272","792,958"
138,Sudan,"61,655",,"4,865",,N/A,N/A,N/A,,"1,353",107,"562,941","12,352","45,575,877"
139,New Caledonia,"59,217",,305,,"55,768",,"3,144",24,"204,105","1,051","98,964","341,102","290,130"
140,Mauritania,"58,657",,981,,"57,650",,26,30,"12,080",202,"759,231","156,358","4,855,736"
141,Belize,"57,034",,652,,"55,851",,531,6,"139,174","1,591","510,065","1,244,653","409,805"
142,Barbados,"56,805",,323,,"55,256",,"1,226",,"197,261","1,122","596,122","2,070,091","287,969"
143,Channel Islands,"56,437",,147,,"52,513",,"3,777",,"319,633",833,"1,221,372","6,917,290","176,568"
144,Cabo Verde,"55,906",,401,,"55,441",,64,23,"98,743",708,"400,982","708,226","566,178"
145,Syria,"55,288",,"3,110",,"49,151",,"3,027",,"3,035",171,"146,269","8,029","18,217,587"
146,Gabon,"47,564",,303,,"47,212",,49,1,"20,552",131,"1,580,654","682,994","2,314,303"
147,Papua New Guinea,"41,533",,639,,"39,905",,989,7,"4,498",69,"249,149","26,985","9,232,924"
148,Seychelles,"39,605",,163,,"39,212",,230,,"398,541","1,640",,,"99,375"
149,Curaçao,"39,459",,265,,"38,760",,434,3,"238,818","1,604","494,095","2,990,419","165,226"
150,Andorra,"38,794",,152,,"37,925",,717,14,"500,736","1,962","249,838","3,224,798","77,474"
151,Burundi,"38,248",,38,,773,,"37,437",,"3,063",3,"345,742","27,686","12,487,804"
152,Togo,"36,848",,272,,"36,472",,104,,"4,282",32,"700,440","81,390","8,605,946"
153,Mayotte,"36,745",,187,,"2,964",,"33,594",,"129,423",659,"176,919","623,141","283,915"
154,Guinea,"36,427",,440,,"33,000",,"2,987",8,"2,652",32,"660,107","48,066","13,733,414"
155,Faeroe Islands,"34,237",,28,,"7,693",,"26,516",5,"696,214",569,"778,000","15,820,726","49,176"
156,Mauritius,"33,856",,934,,"30,378",,"2,544",,"26,547",732,"358,675","281,241","1,275,330"
157,Aruba,"33,796",,212,,"33,522",,62,4,"314,291","1,972","177,885","1,654,267","107,531"
158,Tanzania,"33,726",,800,,N/A,N/A,N/A,7,539,13,,,"62,602,749"
159,Bahamas,"33,191",,771,,"32,098",,322,9,"83,063","1,929","223,430","559,154","399,586"
160,Lesotho,"32,716",,697,,"23,461",,"8,558",,"15,070",321,"407,836","187,864","2,170,912"
161,Haiti,"30,438",,827,,"26,220",,"3,391",,"2,616",71,"132,422","11,379","11,637,099"
162,Mali,"30,409",,726,,"29,564",,119,,"1,432",34,"631,808","29,754","21,234,202"
163,Benin,"26,575",,163,,"25,506",,906,5,"2,099",13,"604,310","47,739","12,658,627"
164,Somalia,"26,400",,"1,348",,"13,182",,"11,870",,"1,586",81,"400,466","24,065","16,640,810"
165,Isle of Man,"24,346",,81,,"23,195",,"1,070",,"283,779",944,"150,753","1,757,192","85,792"
166,Congo,"24,049",,378,,"20,178",,"3,493",,"4,185",66,"347,815","60,520","5,747,128"
167,Saint Lucia,"22,833",,364,,"22,424",,45,1,"123,392","1,967","137,657","743,915","185,044"
168,Timor-Leste,"22,784",,129,,"22,566",,89,9,"16,743",95,"252,353","185,444","1,360,806"
169,Taiwan,"21,225",+62,853,,"19,154",+70,"1,218",,888,36,"12,031,799","503,643","23,889,540"
170,Burkina Faso,"20,751",,375,,"20,309",,67,,949,17,"248,995","11,385","21,869,695"
171,Cayman Islands,"19,433",,17,,"8,553",,"10,863",2,"289,941",254,"222,773","3,323,780","67,024"
172,Nicaragua,"18,203",,222,,"4,225",,"13,756",,"2,694",33,,,"6,757,560"
173,Tajikistan,"17,388",,124,,"17,263",,1,,"1,757",13,,,"9,898,943"
174,Bhutan,"17,150",+484,7,,"13,129",+434,"4,014",3,"21,821",9,"2,036,582","2,591,246","785,947"
175,South Sudan,"17,051",,138,,"13,503",,"3,410",1,"1,494",12,"347,087","30,406","11,415,195"
176,Equatorial Guinea,"15,894",,183,,"15,670",,41,5,"10,734",124,"290,997","196,530","1,480,676"
177,Gibraltar,"15,840",,101,,"15,413",,326,10,"470,393","2,999","521,652","15,491,240","33,674"
178,Djibouti,"15,564",,189,,"15,359",,16,,"15,376",187,"289,377","285,877","1,012,243"
179,San Marino,"14,523",,112,,"14,198",,213,4,"426,507","3,289","138,257","4,060,292","34,051"
180,CAR,"14,320",,113,,"6,859",,"7,348",2,"2,880",23,"81,294","16,352","4,971,436"
181,Liechtenstein,"14,025",+236,79,,"13,304",+201,642,3,"366,064","2,062","80,413","2,098,844","38,313"
182,Grenada,"13,690",,216,,"13,336",,138,4,"120,720","1,905","136,411","1,202,887","113,403"
183,Gambia,"11,963",,365,,"11,583",,15,,"4,726",144,"153,983","60,836","2,531,135"
184,Greenland,"11,856",,20,,"2,761",,"9,075",4,"208,234",351,"164,926","2,896,691","56,936"
185,Bermuda,"11,850",,124,,"11,502",,224,,"191,469","2,004","815,667","13,179,302","61,890"
186,Yemen,"11,783",,"2,139",,"8,838",,806,23,381,69,"265,253","8,575","30,933,882"
187,Dominica,"11,502",,62,,"11,127",,313,,"159,114",858,"173,397","2,398,697","72,288"
188,Saint Martin,"9,912",,63,,"1,399",,"8,450",7,"249,183","1,584","112,382","2,825,230","39,778"
189,Monaco,"9,736",,51,,"9,456",,229,4,"245,165","1,284","54,960","1,383,965","39,712"
190,Eritrea,"9,720",,103,,"9,616",,1,,"2,678",28,"23,693","6,528","3,629,244"
191,Sint Maarten,"9,599",,85,,"9,463",,51,10,"219,672","1,945","62,056","1,420,143","43,697"
192,Niger,"8,780",,308,,"8,460",,12,1,342,12,"233,409","9,088","25,683,313"
193,Solomon Islands,"8,491",,118,,"1,860",,"6,513",3,"11,871",165,"5,117","7,154","715,289"
194,Comoros,"8,060",,160,,"7,884",,16,,"8,947",178,,,"900,845"
195,Guinea-Bissau,"8,050",,168,,"7,055",,827,6,"3,934",82,"125,580","61,365","2,046,443"
196,Sierra Leone,"7,667",,125,,N/A,N/A,N/A,,929,15,"259,958","31,508","8,250,609"
197,Caribbean Netherlands,"7,614",,31,,"7,547",,36,,"285,875","1,164","30,126","1,131,111","26,634"
198,Antigua and Barbuda,"7,466",,135,,"7,317",,14,1,"75,188","1,360","18,901","190,346","99,298"
199,Liberia,"7,392",,294,,"5,747",,"1,351",2,"1,406",56,"139,824","26,592","5,258,156"
200,Chad,"7,258",,190,,"4,874",,"2,194",,421,11,"191,341","11,111","17,220,507"
